ANO,FASE,IDADE,GENERO,ANO_INGRESSO,INSTITUICAO_ENSINO,IAA,IEG,IPS,IDA,IND_PV,IAN,IPP,NOTA_MATEM,NOTA_PORT,POSSUI_DEFASAGEM,INDE_ATUAL,IPP_IMPUTADO
2022,4,16.0,1,2021,1,7.1,8.4,6.3,7.2,7.625,5.0,7.96875,5.7,6.8,1,7.245,1
2022,4,14.0,1,2019,1,7.9,3.4,7.5,1.8,4.958,10.0,7.96875,1.7,3.7,0,5.061,1
2022,4,16.0,0,2017,2,7.9,8.6,5.6,6.5,7.292,5.0,7.96875,7.3,6.3,1,7.084,1
2022,4,14.0,0,2016,2,7.9,7.8,5.0,6.7,7.167,10.0,7.96875,5.7,7.0,0,7.388,1
2022,4,15.0,1,2022,1,8.8,8.5,7.5,7.1,7.75,5.0,7.96875,5.0,7.2,1,7.619,1
2022,4,15.0,0,2018,1,7.1,5.8,7.5,4.4,7.417,5.0,7.96875,4.0,5.0,1,6.289,1
2022,4,14.0,1,2022,1,7.5,8.7,7.5,7.9,8.125,10.0,7.96875,7.7,7.7,0,8.283,1
2022,4,15.0,0,2019,1,0.0,6.2,7.5,5.6,6.167,5.0,7.96875,6.7,6.8,1,5.563,1
2022,4,15.0,0,2019,1,6.7,6.4,7.5,6.7,7.792,5.0,7.96875,6.0,5.3,1,6.926,1
2022,4,16.0,1,2018,1,8.3,4.7,5.0,4.1,6.5,5.0,7.96875,3.7,5.2,1,5.624,1
2022,4,15.0,1,2016,1,8.8,9.0,5.6,5.6,7.75,5.0,7.96875,6.0,6.5,1,7.174,1
2022,4,14.0,1,2019,2,10.0,8.8,5.6,7.7,8.458,10.0,7.96875,6.5,7.5,0,8.355,1
2022,4,15.0,1,2016,1,7.9,7.1,7.5,5.6,7.625,5.0,7.96875,4.7,7.2,1,6.875,1
2022,4,15.0,1,2021,1,8.8,6.8,7.5,4.7,7.375,5.0,7.96875,4.7,6.8,1,6.607,1
2022,4,15.0,1,2019,1,8.3,7.8,5.6,8.6,8.583,5.0,7.96875,8.0,8.2,1,7.692,1
2022,4,15.0,0,2019,1,10.0,6.3,7.5,4.6,6.667,5.0,7.96875,5.3,5.7,1,6.478,1
2022,4,17.0,1,2016,2,7.5,8.9,5.0,7.3,7.792,2.5,7.96875,6.0,7.3,1,7.056,1
2022,4,15.0,0,2016,1,9.6,8.0,5.6,5.6,6.375,5.0,7.96875,5.0,6.5,1,6.738,1
2022,4,17.0,0,2019,1,7.1,3.5,5.0,1.4,3.917,2.5,7.96875,1.7,2.7,1,3.738,1
2022,4,14.0,1,2021,1,7.9,7.6,6.9,5.7,7.667,10.0,7.96875,5.0,6.5,0,7.407,1
2022,4,14.0,0,2017,1,9.2,8.2,5.6,5.7,5.917,10.0,7.96875,5.8,6.2,0,7.118,1
2022,4,14.0,1,2021,1,6.7,8.6,5.6,6.3,7.583,10.0,7.96875,6.0,6.8,0,7.457,1
2022,4,13.0,0,2019,2,8.3,9.9,5.6,7.9,9.5,10.0,7.96875,9.7,7.7,0,8.638,1
2022,4,14.0,1,2017,2,7.5,9.3,5.0,7.9,8.292,10.0,7.96875,7.5,7.2,0,8.181,1
2022,4,16.0,0,2017,1,0.0,6.3,8.1,5.2,7.25,5.0,7.96875,3.0,4.8,1,5.846,1
2022,4,15.0,1,2022,1,8.3,9.2,7.5,7.9,8.208,5.0,7.96875,6.3,7.3,1,7.947,1
